,Unnamed: 0,user.id,create_at,text,Movie,sentiment_score,neg,neu,pos,compound
25,50621,2820126259.0,3/6/22,Man I downloaded that Batman soundtrack so quick = that score just hits different <=%,The Batman (2022),0.0,0.0,1.0,0.0,0.0
26,53849,5445832.0,3/9/22,I wanna see Hush and Mr Freeze in #TheBatman 2 https://t.co/lWi8Mu1q6o,The Batman (2022),0.05,0.0,0.87,0.13,0.0516
27,49654,2555862503.0,3/5/22,seeing Batman at disney springs. life is good.,The Batman (2022),0.44,0.0,0.707,0.293,0.4404
28,54551,418497076.0,3/8/22,THIS MOVIE IS THE BEST BATMAN MOVIE EVER #Batman,The Batman (2022),0.71,0.0,0.619,0.381,0.7125
29,46432,2792130693.0,3/4/22,The new Batman movie for me 8/10,The Batman (2022),0.0,0.0,1.0,0.0,0.0
30,52223,2300673435.0,3/4/22,"@joederosacomedy Here's a battle for you guys...who was the best Batman? 
I don't even have to give it a second thought...MICHAEL KEATON...",The Batman (2022),0.38,0.109,0.714,0.176,0.3818
31,47116,65292722.0,3/7/22,"So now, theyll just drag white devil Christopher Nolan through the mud for no reason.

Nolan, btw, who is the ONLY director ever to include Lucius Fox in his Batman universe.",The Batman (2022),-0.82,0.233,0.767,0.0,-0.8176
32,50659,1.17e+18,3/7/22,Ever since they announced Gotham Knights would be based on The Court of Owls it feels like everyone wants them to be involved in everything Batman related now.,The Batman (2022),0.36,0.0,0.915,0.085,0.3612
33,49672,16323411.0,3/6/22,I REALLY liked and highly recommend The Batman! I swear that the scream in the movie is the same (Vickie Vale) scream from the first Michael Keaton Batman. Would love to know if it is. https://t.co/PK3sVOle07,The Batman (2022),0.76,0.144,0.613,0.243,0.7587
34,54257,1.49e+18,3/7/22,"KeK =8
MY HIDE A KEY = HOLDER in HIGH SCHOOL <� 
=A SEE DOUBLE 71
71<>17
71<>17
17+17= 34
MY LADY VIKING BASKETBALL <� NUMBER
7� IS MY LIFET PATH NUMBER AS WELL >�=�>��< @awarrior828 #DukeUNC #Batman #basketball #Bible MARCH MADNESS e BABY #BELIEVE https://t.co/9wNLUHpEpI",The Batman (2022),-0.04,0.117,0.751,0.133,-0.0431
35,49902,9.9e+17,3/9/22,New in stock! Dark Nights: Metal D-Stage DS-090 The Batman Who Laughs Statue! #batmanwholaughs #batman #dccomics #statue #dstsge #beastkingdom #darknightsmetal #metal @ Metropolis Comics https://t.co/432ITpCkWs,The Batman (2022),0.58,0.0,0.859,0.141,0.5837
36,50447,1.48e+18,3/5/22,#Batman Save Philly #Carjackers.,The Batman (2022),0.49,0.0,0.484,0.516,0.4939
37,48978,311902497.0,3/9/22,I just dont see where I went wrong that Im not dating Zoe kravitzs,The Batman (2022),-0.48,0.22,0.78,0.0,-0.4767
38,54565,8.9e+17,3/8/22,The Batman was much better! Exponentially.,The Batman (2022),0.49,0.0,0.61,0.39,0.4926
39,46161,55729686.0,3/6/22,"@shakes2011 @DTReeves2 Man, I can tell you all don't do the math. Buy Ding Dongs for the same price as Hohos and you get 2+ more ounces in a box 

It's getting extra for free https://t.co/vLY8Ski28z",The Batman (2022),0.51,0.0,0.909,0.091,0.5106
40,47307,9.84e+17,3/4/22,"@JWrestlingV2 @mattreevesLA He has an issue with Wayne because he saved Frank first before he saved his family. And an issue with Batman because of how he dishes out justice ""When you hit them, they get back up. When I hit them, they stay down!",The Batman (2022),0.85,0.0,0.815,0.185,0.8516
41,48760,9.65e+17,3/6/22,Cant wait to watch The Batman when it comes out on hbomax in June. https://t.co/szvWbKKca2,The Batman (2022),0.0,0.0,1.0,0.0,0.0
42,53715,16066568.0,3/6/22,Batman just good. Not great.,The Batman (2022),-0.1,0.358,0.326,0.315,-0.1012
43,49738,237089251.0,3/6/22,the batman aesthetic is just better than other superhero movies tbh,The Batman (2022),0.44,0.0,0.775,0.225,0.4404
44,49764,262796792.0,3/7/22,"@SketchedBat Zack Snyder and David Ayers never had the correct vision for DC. 

I am so relieved they are brooming all of the Snyderverse mess. The Batman proved that audiences were hungry for real cinema and top shelf storytelling. 

The box office and online buzz reflects that",The Batman (2022),0.57,0.048,0.813,0.139,0.567
45,50670,228886592.0,3/7/22,Zoe Kravitz could walk right up to me and stab me and Id thank her after,The Batman (2022),-0.32,0.187,0.69,0.123,-0.3182
46,48561,113229899.0,3/4/22,The plan is to watch #TheBatman this weekend!,The Batman (2022),0.0,0.0,1.0,0.0,0.0
47,47104,1114685570.0,3/7/22,All i do is think about The Batman,The Batman (2022),0.0,0.0,1.0,0.0,0.0
48,46476,24051570.0,3/4/22,"New Release Movie Review.

THE BATMAN - The Bat and The Cat Trailer https://t.co/YuciquRMV3 via @YouTube

Excellent!! The Batman is a solid detective story, dark film noir mix with some outstanding action sequences including one of the best car chases I have seen!",The Batman (2022),0.94,0.0,0.715,0.285,0.9369
49,48494,846386322.0,3/9/22,"Big times taking Baby C to @mclibdotnet & grabbing some books to read. She picked all of 'em
=� 
@sesamestreet @thepetethecat #CliffordTheBigRedDog #Batman @loubot https://t.co/sVGax0P9DE",The Batman (2022),0.0,0.0,1.0,0.0,0.0
50,49409,7350052.0,3/10/22,One thing I LOVED in #TheBatman was how much acting Robert Pattinson does with his eyes in the confrontation scene in Arkham. https://t.co/OwMptipzSj,The Batman (2022),0.52,0.085,0.743,0.172,0.516
51,48022,61851212.0,3/8/22,"Batman only kills in Elseworlds.""

Buddy, they are ALL elseworlds.",The Batman (2022),-0.54,0.28,0.72,0.0,-0.5423
52,50422,7.69e+17,3/4/22,@NAACPYOUNGBOY Tell them other superheroes to tuck their chains in when Batman outside. Its different out here.,The Batman (2022),0.0,0.0,1.0,0.0,0.0
53,50748,29862631.0,3/8/22,@tatereeves @PhilipGunnMS Wah wah. Whiney baby pathetic clown turd tater twat,The Batman (2022),-0.89,0.565,0.435,0.0,-0.886
54,45147,136480743.0,3/4/22,This is good! #Batman,The Batman (2022),0.49,0.0,0.484,0.516,0.4926
55,53876,243786759.0,3/10/22,Had a HUGE b*ner leaving the theater after seeing the new Batman&. Paul Dano please give me another chance,The Batman (2022),0.75,0.0,0.672,0.328,0.7456
56,53988,1.08e+18,3/4/22,We are going to see The Batman! We are posting about it on The Twitter!,The Batman (2022),0.0,0.0,1.0,0.0,0.0
57,46364,540212851.0,3/4/22,@notbatmanyet This looks fantastic,The Batman (2022),0.56,0.0,0.455,0.545,0.5574
58,51147,5445832.0,3/8/22,"I can see Gordon telling #TheBatman & #Catwoman ""Scooby-Doo this Crap!"" #SpiderManNoWayHome #DCU #MarvelStudios https://t.co/E6ZcE9tfMx",The Batman (2022),0.0,0.0,1.0,0.0,0.0
59,46245,388594545.0,3/7/22,One of my favorite parts of the new Batman movie is that Paul Dano had to wear zero makeup and was still the creepiest character,The Batman (2022),0.46,0.0,0.889,0.111,0.4588
60,50531,16635617.0,3/5/22,I just got back from seeing The Batman at Raleighs @alamodrafthouse. The last time I smiled as much as I did during a movie was during Mad Max: Fury Road. This film is amazing especially Colin Farrell. The food and service was also fantastic as always.,The Batman (2022),0.61,0.126,0.675,0.199,0.6124
61,51961,1276939208.0,3/7/22,When we gonna have a bald batman? #thebatman,The Batman (2022),0.0,0.0,1.0,0.0,0.0
62,46559,25726184.0,3/5/22,#TheBatman IS SO FUCKING GOOD OH MY GODDDDDD I LOVE IT,The Batman (2022),0.91,0.0,0.431,0.569,0.9112
63,46932,320919927.0,3/5/22,We all know the one line in #TheBatman that pissed him off was,The Batman (2022),-0.64,0.259,0.741,0.0,-0.6369
64,55127,605058613.0,3/10/22,already liked nirvana a lot but that batman movie really got me on my bullshit again,The Batman (2022),-0.65,0.259,0.647,0.095,-0.6486
65,53021,2554513957.0,3/4/22,@Cords95481107 Batman Returns,The Batman (2022),0.0,0.0,1.0,0.0,0.0
66,51744,42947533.0,3/5/22,"Hey @reevesgabrels, it just hit me that a couple of weeks ago you posted an album you did with David Tronzo on Facebook. Since it's #BandcampFriday I just bought it, looking forward to new (old) tunes from you! d<�<�
https://t.co/pnnGOvP87e",The Batman (2022),0.0,0.0,1.0,0.0,0.0
67,48185,176927125.0,3/4/22,#TheBatman no context spoilers https://t.co/YeKJR6Sicd,The Batman (2022),-0.3,0.355,0.645,0.0,-0.296
68,50119,778937460.0,3/6/22,wanna go see Batman,The Batman (2022),0.0,0.0,1.0,0.0,0.0
69,51626,149234822.0,3/4/22,"=== she's perfect >�>�B=;S#Thebatman
https://t.co/Bc8MhMkWlp",The Batman (2022),0.57,0.0,0.519,0.481,0.5719
70,54772,790876506.0,3/5/22,The Batman is the best Batman movie of all time. Talk to a wall and don't @,The Batman (2022),0.64,0.0,0.769,0.231,0.6369
71,51038,1.35e+18,3/7/22,Just getting out of seeing #Batman again still 10/10 for me https://t.co/AnIEYSe8UH,The Batman (2022),0.0,0.0,1.0,0.0,0.0
72,51905,1.38e+18,3/6/22,Brotei no Batman,The Batman (2022),-0.3,0.524,0.476,0.0,-0.296
73,48050,1.25e+18,3/8/22,"S/O to @DCComics for immediately knocking us back down from the elitist, NFT table by adding the word common after #LimitedEdition = #TheBatman https://t.co/QKo1Hl1wZv",The Batman (2022),0.0,0.0,1.0,0.0,0.0
74,47418,159124871.0,3/5/22,I saw Batman and the Love is Blind reunion last night and only one of them kept me up all night #loveisblind2reunion,The Batman (2022),0.36,0.104,0.734,0.162,0.3612
75,50575,1077456398.0,3/6/22,Batman was too good,The Batman (2022),0.44,0.0,0.508,0.492,0.4404
76,49472,43038817.0,3/4/22,#TheBatman was so good!,The Batman (2022),0.62,0.0,0.427,0.573,0.6166
77,47492,61896196.0,3/6/22,Batman kinda sucked. Worst of the new age batmans https://t.co/ESOTbhXNa6,The Batman (2022),-0.76,0.449,0.551,0.0,-0.76
78,50405,1.43e+18,3/4/22,Everyone cheered at the Batman gliding scene and then I cheered and clapped when he ate shit. >#>#>#># #TheBatman,The Batman (2022),0.46,0.143,0.595,0.262,0.4588
79,51561,3733331.0,3/7/22,"The Batman was fantastic. Incels everywhere are going to be mad. Also, I can already feel the 1000 word essay about the movie being woke @TuckerCarlson is writing in his head because the movie dared to say white privilege. #TheBatman #Batman",The Batman (2022),0.44,0.069,0.799,0.132,0.4404
80,51259,22066732.0,3/4/22,"I dont know what I expected going in, but The Batman is quite good. Didnt feel like 3 hours. Very Se7en vibes.",The Batman (2022),0.82,0.0,0.693,0.307,0.8196
81,53968,8.85e+17,3/4/22,@joeshoowah19 @nba445master @DiscussingFilm The Batman just moved slow so he could record things and study later. He didnt solve not one part of this crime. Terminator 2: Judgement Day and Captain America: Winter Soldier are two A+ perfect movies to me.,The Batman (2022),0.1,0.087,0.798,0.115,0.0964
82,52793,9.12e+17,3/6/22,Martinez was low key my guy. === #TheBatmanMovie,The Batman (2022),-0.27,0.231,0.769,0.0,-0.2732
83,48813,267155007.0,3/6/22,The Batman is in the same tier IDC lol,The Batman (2022),0.42,0.0,0.741,0.259,0.4215
84,53147,1.17e+18,3/5/22,"Zo� Kravitz as Selina Kyle in The Batman, by me https://t.co/y4fsc4iepW",The Batman (2022),0.0,0.0,1.0,0.0,0.0
85,54603,1.49e+18,3/9/22,Wanna send a thank you out to Paul Brumbaugh for the last min add to the show and a special good lookin out to Jermaine L Reeves for great networking and friendship&.The Funny Guys in the Bay Area bout to bring some laughs&.#help1another #makumlaugh #brownlaughs #TheFunnyGuys https://t.co/8QGPYYvHDZ,The Batman (2022),0.93,0.0,0.721,0.279,0.9337
86,49260,43031197.0,3/7/22,"Forgot #BatmanReturns is almost certainly where I first heard the word ""poontang"" >#=1 https://t.co/HPRVlW9SQ7",The Batman (2022),0.27,0.0,0.851,0.149,0.2748
87,48607,1.49e+18,3/4/22,"@aellantia Fix the words that have power. I will meet Keanu Reeves and then feck the dog-shit out of him, such that he gets a neon tattoo with my name on his buttocks.",The Batman (2022),0.0,0.0,1.0,0.0,0.0
88,50395,411626139.0,3/4/22,The real travesty of The Batman is Zo� Kravitz losing her pink wig in a fight scene=),The Batman (2022),-0.84,0.406,0.594,0.0,-0.836
89,52328,28405296.0,3/5/22,Adam West forever! Get it together @PrimeVideo #batman #AdamWest,The Batman (2022),0.0,0.0,1.0,0.0,0.0
90,48110,7.27e+17,3/10/22,I dont want to squander three hours on this new Batman so is it good?,The Batman (2022),0.54,0.0,0.729,0.271,0.5367
91,53494,867532477.0,3/4/22,Batmans theme song slaps,The Batman (2022),0.0,0.0,1.0,0.0,0.0
92,54610,8.48e+17,3/9/22,@BatmanAnthology ARE NEW BATMAN ROBIN AND BATGIRL MOVIE When COMING SOON BE LAST ONE,The Batman (2022),0.0,0.0,1.0,0.0,0.0
93,47232,1.03e+18,3/10/22,Batman just like me fr fr,The Batman (2022),0.36,0.0,0.667,0.333,0.3612
94,45062,235640408.0,3/4/22,"The Batman was great and it somehow didn't feel too long 

Oh and the Heat won most excellent",The Batman (2022),0.92,0.0,0.56,0.44,0.9152
95,52815,7.71e+17,3/7/22,New Batman movie looks cool https://t.co/nMH3OK9nda,The Batman (2022),0.32,0.0,0.685,0.315,0.3182
96,53780,1.31e+18,3/8/22,#TheBatman is a cinematic beauty and a must watch in IMAX https://t.co/HnYTviT7Z8,The Batman (2022),0.59,0.0,0.703,0.297,0.5859
97,45138,249272089.0,3/4/22,I believe @mattreevesLA wasn't afraid to write a film that showed the thin line between extreme left & extreme right or how vigilante justice teeters between righteous and criminal. This was truly a Batman story for our time.,The Batman (2022),0.44,0.084,0.762,0.155,0.4404
98,33276,2218653835.0,11/7/21,"Saw #eternals tonight and while its definitely different from other marvel movies and I have a lot of questions, I found it entertaining and thought it was a great cinematic experience! Heres a study of Thena. 
Painted in @Procreate 
#illustrationart #DigitalArtist https://t.co/kTV9hAaiId",Eternals (2021),0.92,0.0,0.721,0.279,0.9151
99,32243,1849597782.0,11/5/21,"im not going on twitter till i watch eternals bc yall dont know how to stfu >,",Eternals (2021),0.0,0.0,1.0,0.0,0.0
100,32151,2781139889.0,11/8/21,"@NFLGimpy This was the biggest flaw of DC movies like Suicide Squad and Justice League to me, introducing new characters without the backstory. I havent seen Eternals yet but its frustrating if they tried to cut corners like this",Eternals (2021),-0.47,0.191,0.66,0.149,-0.4678
101,32009,2869126243.0,11/11/21,#EternalsGilgamesh #Avengers #MarvelStudios,Eternals (2021),0.0,0.0,1.0,0.0,0.0
102,34986,8.75e+17,11/5/21,"#Eternals looks so boring from the commercials, but Im still going to go see it to stay abreast of the MCU. Thats the unstoppable power of the #Marvel brand!=� Hopefully the commercials misrepresented the movie.",Eternals (2021),0.16,0.112,0.799,0.089,0.1646
103,31427,1.31e+18,11/5/21,@damienmiles1995 Seeing eternals in Sunday!,Eternals (2021),0.0,0.0,1.0,0.0,0.0
104,32096,114918234.0,11/6/21,@markellislive woke up this morning and saw this. This deft has to be covered in a future episode of @RottenTomatoes IS Wrong because thats a bigger Gap than the Grand Canyon #Eternals https://t.co/pu9DoDjyR7,Eternals (2021),-0.03,0.088,0.826,0.085,-0.0258
105,33097,1.27e+18,11/7/21,My most surprising character of #Eternals was definitely #Druig ! https://t.co/Tj4XI4PkWI,Eternals (2021),0.66,0.0,0.598,0.402,0.6581
106,32909,243919199.0,11/8/21,Eternals sucked. I said it.,Eternals (2021),-0.46,0.5,0.5,0.0,-0.4588
107,31688,18357054.0,11/5/21,"I'm at Regal Laurel Towne Centre - @regalmovies for Eternals in Laurel, MD https://t.co/15WNmARMl2",Eternals (2021),0.0,0.0,1.0,0.0,0.0
108,31356,406745157.0,11/7/21,"@TheEternals I know you're not going for realism, but alpacas in the Amazon???? Guarded by people with an accent from Spain??? #Eternals",Eternals (2021),0.0,0.0,1.0,0.0,0.0
109,34694,139914402.0,11/10/21,"Oof. Eternals is easily my least favorite MCU movie now. I'll still buy it when it comes out to keep the collection complete, but I'll probably never watch it again.",Eternals (2021),-0.01,0.055,0.891,0.054,-0.0103
110,35042,118572733.0,11/7/21,"Guys,, I just watched @TheEternals tonight && oh SO good!! >p=",Eternals (2021),0.67,0.0,0.666,0.334,0.6715
111,34353,3015341842.0,11/5/21,#Eternals was great guys. A middle to upper half film within the MCU. Casted perfectly and visually stunning. #MCU,Eternals (2021),0.9,0.0,0.579,0.421,0.8979
112,33545,45896059.0,11/10/21,Its time! - Ajak #eternals #marvel #celestials #mcu #marvelcomics #deviants #notavengers #movietime #skokie #cmx @cmxcinemas #tuesdaymovie @ CMX Cinemas https://t.co/RMke7ORtNC,Eternals (2021),0.0,0.0,1.0,0.0,0.0
113,31420,52314454.0,11/11/21,Yooo werd to me The Avengers&nah fuck it the Teen Titans could fuck the Eternals up &. That movie was hella yeah btw (my opinion),Eternals (2021),-0.67,0.222,0.699,0.079,-0.6712
114,33424,21853.0,11/6/21,"Had to leave Eternals early for reasons, but not really upset about it. It was pretty terrible. The changes were dumb and the pacing was a travesty. Such a shame.",Eternals (2021),-0.91,0.4,0.444,0.156,-0.91
115,32597,63868215.0,11/5/21,Eternals was alright had way more action than critics were saying it kept me entertained and the post credits were dope,Eternals (2021),0.58,0.092,0.638,0.27,0.577
116,32057,1.09e+18,11/5/21,#Eternals on TV Time https://t.co/3r1Kd1JXoP https://t.co/wH6zCv1aFo,Eternals (2021),0.0,0.0,1.0,0.0,0.0
117,35025,2352133482.0,11/6/21,"@TheRafeAdIer @AyyoDude @blytemf @DavissonJulian Made it though eternals >7B and throughly enjoyed it.

You so pressed lmao. Enjoy the movie for yourself and move on",Eternals (2021),0.9,0.0,0.678,0.322,0.8988
118,32239,34853704.0,11/5/21,Having to drive so far for a movie @AMCTheatres - when are you moving to the @miami_river? #MarvelStudios #Eternals #AMC #Movies,Eternals (2021),0.0,0.0,1.0,0.0,0.0
119,34303,42337565.0,11/9/21,I see people who tear down dc movies to the bone but giving #Eternals a past GTFO,Eternals (2021),0.48,0.0,0.819,0.181,0.4767
120,32154,126553708.0,11/8/21,Low key best part of Eternals was that 2nd post credit scene lol,Eternals (2021),0.82,0.101,0.435,0.464,0.8176
121,33572,460348130.0,11/5/21,I need to see the eternals this weekend,Eternals (2021),0.0,0.0,1.0,0.0,0.0
122,33901,23394600.0,11/8/21,Movie night with my baby. #amctheaters #delamo #eternals #lastnightinsoho #movies=� @ Dolby Theatre at AMC Del Amo 18 https://t.co/dAFyk1b4jq,Eternals (2021),0.0,0.0,1.0,0.0,0.0
123,31888,2654892928.0,11/6/21,me in this theater after watching eternals tonight https://t.co/SppmGGyQ1D,Eternals (2021),0.0,0.0,1.0,0.0,0.0
124,33076,410648466.0,11/7/21,Walked into eternals with Purdue leading the half and came out to this! Whaaaaaaatttttttt,Eternals (2021),0.0,0.0,1.0,0.0,0.0
125,34993,1.03e+18,11/6/21,Marvel's Eternals is basically a story of why group projects suck.,Eternals (2021),-0.44,0.244,0.756,0.0,-0.4404
126,34533,930458412.0,11/5/21,Eternals out? =@,Eternals (2021),0.0,0.0,1.0,0.0,0.0
127,31295,3912345989.0,11/5/21,time for #Eternals round <� https://t.co/kt2t2vmKPF,Eternals (2021),0.0,0.0,1.0,0.0,0.0
128,32978,349212943.0,11/5/21,Just saw #Eternals; Disney can just take all of my money now and give me the entire MCU upfront at this point.,Eternals (2021),0.0,0.0,1.0,0.0,0.0
129,34323,251220168.0,11/10/21,Eternals Assemble! Only Men To Win Heisman Trophy And Enter Pro Football Hall Of Fame Gather For Unique Documentary Project #H2H #heisman #hof https://t.co/Qj0Tu05kUe,Eternals (2021),0.79,0.0,0.759,0.241,0.7901
130,32280,102851443.0,11/6/21,"Early Birthday Celebrations at @AlamoDFWs #Cedars location for @TheEternals with my love @LookItsBrittani!

#Excelsior #MakeMineMarvel #HappyBirthdayToMe https://t.co/2LU3nPU3Tp",Eternals (2021),0.67,0.0,0.781,0.219,0.6696
131,34262,8.24e+17,11/7/21,"The same people hating The Eternals are putting on spot fests. That's right America, come and get me. Lol",Eternals (2021),-0.13,0.143,0.736,0.121,-0.128
132,31944,26095837.0,11/7/21,Eternals. @ Fashion Valley https://t.co/nbgLlRan3f,Eternals (2021),0.0,0.0,1.0,0.0,0.0
133,32927,384929695.0,11/9/21,"#Eternals Review: Marvel has always done a great job at telling human stories using superhumans to do so. An incredible ability to ground them and make them relatable. Eternals does just that. The plot is a little dense w/ a lot of moving parts but the pacing is helps.

89/100",Eternals (2021),0.82,0.0,0.817,0.183,0.824
134,34983,323400541.0,11/5/21,"Seeing the Eternals movie tonight, will live tweet the ending for yall",Eternals (2021),0.0,0.0,1.0,0.0,0.0
135,23952,34049572.0,12/17/21,"Im glad I muted the word Spider-Man, to avoid any spoilers, for the new #SpiderManNoWayHome movie. https://t.co/yLFn6oj2gj",Spider-Man No Way Home (2021),0.2,0.115,0.729,0.156,0.2023
136,22536,321475355.0,12/18/21,Because I met the director of Spiderman No Way Home @SpiderManMovie https://t.co/aR57L2lMKN,Spider-Man No Way Home (2021),-0.3,0.18,0.82,0.0,-0.296
137,31129,186231274.0,12/20/21,#SpiderManNoWayHome was good!,Spider-Man No Way Home (2021),0.49,0.0,0.385,0.615,0.4926
138,30630,1497035792.0,12/19/21,Saw spiderman twice in one day yesterday idk how to feel about it,Spider-Man No Way Home (2021),-0.1,0.104,0.896,0.0,-0.1027
139,20955,232096471.0,12/22/21,#SpiderManNoWayHome was everything I thought it would be and more!,Spider-Man No Way Home (2021),0.0,0.0,1.0,0.0,0.0
140,31112,348719591.0,12/20/21,Niggas are fighting in Spiderman. They cut the fucking lights on,Spider-Man No Way Home (2021),-0.72,0.467,0.533,0.0,-0.7184
141,31601,1.11e+18,12/22/21,boutta watch spiderman for the second time & im hyped all over againnnn =,Spider-Man No Way Home (2021),0.0,0.0,1.0,0.0,0.0
142,22903,1.39e+18,12/17/21,"@DhonifiedRebel2 @AlluSrkTom @PrabhasCrazy007 Fans and admirers unnaru. But adhi actual market loki convert avvadaniki time pattudhi. Koddiga wait cheyandi. 
Pushpa ki chaala states lo 50% occupancy and Spiderman competition valla sarraina show count kuda ivvaledhu.",Spider-Man No Way Home (2021),0.21,0.0,0.948,0.052,0.2144
143,28112,9.84e+17,12/17/21,"#SpiderManNoWayHome 
Alright... Right off the bat; this is a SPOILER FREE review. 

Now, let's just say that I'm seeing this shit again asap. Any Spider-Man fan, any Marvel fan will absolutely love, adore and cry about everything this movie does to you. (Next page) https://t.co/Yv1CuUIk2i",Spider-Man No Way Home (2021),0.91,0.116,0.57,0.314,0.9091
144,27561,27951879.0,12/19/21,"It was hearing Neds mom speak Tagalog for me. #SpiderManNoWayHome 

I cant believe it.",Spider-Man No Way Home (2021),0.0,0.0,1.0,0.0,0.0
145,22960,1.11e+18,12/18/21,Took my Lil Cuz @quantomcube to see #SpiderManNoWayHome =%=%=%=% @ AMC Lincoln Square 13 https://t.co/rcinTPz5AH,Spider-Man No Way Home (2021),0.0,0.0,1.0,0.0,0.0
