,user.id,create_at,text,Movie
54776,1184972899,3/5/22,"Went in with low expectations and came out really liking it. Is it my favorite Batman movie now? No. But, it is one of the better interpretations. Also, we get to see Batman be a detective. Which is cool since hes supposed to be the world greatest detective. #TheBatman",The Batman (2022)
45041,572593566,3/4/22,"Got the wife and I premiere night tickets for #TheBatman and didnt take into account its 3 whole hours long. LOVE a long movie, but not at 8pm on a Thursday =",The Batman (2022)
53092,1.45E+18,3/4/22,Is @ the movies watching #TheBatman,The Batman (2022)
49953,19799464,3/4/22,@DyliriousT Just saw #TheBatman so... Pretty pretty good.,The Batman (2022)
49301,1.43E+18,3/7/22,I could definitely watch The Batman again movie was so good !!!,The Batman (2022)
48438,15963078,3/8/22,"I got a Batman NFT, someone wanna buy for $1,393,926,726,094.69?",The Batman (2022)
45630,1.22E+18,3/5/22,"#TheBatman is the most entertaining and epic Batman movie to see!
Robert Pattinson makes a remarkable performance as Batman; the casting is incredible; the action sequences are outstanding; Matt Reeves makes a great director; and more makes a movie very entertaining!
(10 / 10) https://t.co/QkAGz5heij",The Batman (2022)
49701,36935456,3/6/22,if i wanna watch the new #batmanmovie i will watch it from the comfort of my own home with the BS of rising prices everywhere #batman https://t.co/AynRqnyQ7L,The Batman (2022)
54866,1.07E+18,3/6/22,The Batman: Mayne Spoiler Review https://t.co/40jx7tDAKc via @YouTube please come #batmanmovie,The Batman (2022)
52090,9598912,3/9/22,My favorite part of The Batman (2022) is that Catwoman takes cabs everywhere despite being past due on all her bills. Iconic behavior.,The Batman (2022)
51839,477926650,3/6/22,Dinner Before seeing Batman >d https://t.co/KVjajVi7RY,The Batman (2022)
51958,898444938,3/7/22,@robertpatrickT2 @MichaelKeaton He is coming back to be THE Batman soon,The Batman (2022)
50621,2820126259,3/6/22,Man I downloaded that Batman soundtrack so quick = that score just hits different <=%,The Batman (2022)
53849,5445832,3/9/22,I wanna see Hush and Mr Freeze in #TheBatman 2 https://t.co/lWi8Mu1q6o,The Batman (2022)
49654,2555862503,3/5/22,seeing Batman at disney springs. life is good.,The Batman (2022)
54551,418497076,3/8/22,THIS MOVIE IS THE BEST BATMAN MOVIE EVER #Batman,The Batman (2022)
46432,2792130693,3/4/22,The new Batman movie for me 8/10,The Batman (2022)
52223,2300673435,3/4/22,"@joederosacomedy Here's a battle for you guys...who was the best Batman? 
I don't even have to give it a second thought...MICHAEL KEATON...",The Batman (2022)
47116,65292722,3/7/22,"So now, theyll just drag white devil Christopher Nolan through the mud for no reason.

Nolan, btw, who is the ONLY director ever to include Lucius Fox in his Batman universe.",The Batman (2022)
50659,1.17E+18,3/7/22,Ever since they announced Gotham Knights would be based on The Court of Owls it feels like everyone wants them to be involved in everything Batman related now.,The Batman (2022)
49672,16323411,3/6/22,I REALLY liked and highly recommend The Batman! I swear that the scream in the movie is the same (Vickie Vale) scream from the first Michael Keaton Batman. Would love to know if it is. https://t.co/PK3sVOle07,The Batman (2022)
54257,1.49E+18,3/7/22,"KeK =8
MY HIDE A KEY = HOLDER in HIGH SCHOOL <� 
=A SEE DOUBLE 71
71<>17
71<>17
17+17= 34
MY LADY VIKING BASKETBALL <� NUMBER
7� IS MY LIFET PATH NUMBER AS WELL >�=�>��< @awarrior828 #DukeUNC #Batman #basketball #Bible MARCH MADNESS e BABY #BELIEVE https://t.co/9wNLUHpEpI",The Batman (2022)
49902,9.90E+17,3/9/22,New in stock! Dark Nights: Metal D-Stage DS-090 The Batman Who Laughs Statue! #batmanwholaughs #batman #dccomics #statue #dstsge #beastkingdom #darknightsmetal #metal @ Metropolis Comics https://t.co/432ITpCkWs,The Batman (2022)
50447,1.48E+18,3/5/22,#Batman Save Philly #Carjackers.,The Batman (2022)
48978,311902497,3/9/22,I just dont see where I went wrong that Im not dating Zoe kravitzs,The Batman (2022)
54565,8.90E+17,3/8/22,The Batman was much better! Exponentially.,The Batman (2022)
46161,55729686,3/6/22,"@shakes2011 @DTReeves2 Man, I can tell you all don't do the math. Buy Ding Dongs for the same price as Hohos and you get 2+ more ounces in a box 

It's getting extra for free https://t.co/vLY8Ski28z",The Batman (2022)
47307,9.84E+17,3/4/22,"@JWrestlingV2 @mattreevesLA He has an issue with Wayne because he saved Frank first before he saved his family. And an issue with Batman because of how he dishes out justice ""When you hit them, they get back up. When I hit them, they stay down!",The Batman (2022)
48760,9.65E+17,3/6/22,Cant wait to watch The Batman when it comes out on hbomax in June. https://t.co/szvWbKKca2,The Batman (2022)
53715,16066568,3/6/22,Batman just good. Not great.,The Batman (2022)
49738,237089251,3/6/22,the batman aesthetic is just better than other superhero movies tbh,The Batman (2022)
49764,262796792,3/7/22,"@SketchedBat Zack Snyder and David Ayers never had the correct vision for DC. 

I am so relieved they are brooming all of the Snyderverse mess. The Batman proved that audiences were hungry for real cinema and top shelf storytelling. 

The box office and online buzz reflects that",The Batman (2022)
50670,228886592,3/7/22,Zoe Kravitz could walk right up to me and stab me and Id thank her after,The Batman (2022)
48561,113229899,3/4/22,The plan is to watch #TheBatman this weekend!,The Batman (2022)
47104,1114685570,3/7/22,All i do is think about The Batman,The Batman (2022)
46476,24051570,3/4/22,"New Release Movie Review.

THE BATMAN - The Bat and The Cat Trailer https://t.co/YuciquRMV3 via @YouTube

Excellent!! The Batman is a solid detective story, dark film noir mix with some outstanding action sequences including one of the best car chases I have seen!",The Batman (2022)
48494,846386322,3/9/22,"Big times taking Baby C to @mclibdotnet & grabbing some books to read. She picked all of 'em
=� 
@sesamestreet @thepetethecat #CliffordTheBigRedDog #Batman @loubot https://t.co/sVGax0P9DE",The Batman (2022)
49409,7350052,3/10/22,One thing I LOVED in #TheBatman was how much acting Robert Pattinson does with his eyes in the confrontation scene in Arkham. https://t.co/OwMptipzSj,The Batman (2022)
48022,61851212,3/8/22,"Batman only kills in Elseworlds.""

Buddy, they are ALL elseworlds.",The Batman (2022)
50422,7.69E+17,3/4/22,@NAACPYOUNGBOY Tell them other superheroes to tuck their chains in when Batman outside. Its different out here.,The Batman (2022)
50748,29862631,3/8/22,@tatereeves @PhilipGunnMS Wah wah. Whiney baby pathetic clown turd tater twat,The Batman (2022)
45147,136480743,3/4/22,This is good! #Batman,The Batman (2022)
53876,243786759,3/10/22,Had a HUGE b*ner leaving the theater after seeing the new Batman&. Paul Dano please give me another chance,The Batman (2022)
53988,1.08E+18,3/4/22,We are going to see The Batman! We are posting about it on The Twitter!,The Batman (2022)
46364,540212851,3/4/22,@notbatmanyet This looks fantastic,The Batman (2022)
51147,5445832,3/8/22,"I can see Gordon telling #TheBatman & #Catwoman ""Scooby-Doo this Crap!"" #SpiderManNoWayHome #DCU #MarvelStudios https://t.co/E6ZcE9tfMx",The Batman (2022)
46245,388594545,3/7/22,One of my favorite parts of the new Batman movie is that Paul Dano had to wear zero makeup and was still the creepiest character,The Batman (2022)
50531,16635617,3/5/22,I just got back from seeing The Batman at Raleighs @alamodrafthouse. The last time I smiled as much as I did during a movie was during Mad Max: Fury Road. This film is amazing especially Colin Farrell. The food and service was also fantastic as always.,The Batman (2022)
51961,1276939208,3/7/22,When we gonna have a bald batman? #thebatman,The Batman (2022)
46559,25726184,3/5/22,#TheBatman IS SO FUCKING GOOD OH MY GODDDDDD I LOVE IT,The Batman (2022)
46932,320919927,3/5/22,We all know the one line in #TheBatman that pissed him off was,The Batman (2022)
55127,605058613,3/10/22,already liked nirvana a lot but that batman movie really got me on my bullshit again,The Batman (2022)
53021,2554513957,3/4/22,@Cords95481107 Batman Returns,The Batman (2022)
51744,42947533,3/5/22,"Hey @reevesgabrels, it just hit me that a couple of weeks ago you posted an album you did with David Tronzo on Facebook. Since it's #BandcampFriday I just bought it, looking forward to new (old) tunes from you! d<�<�
https://t.co/pnnGOvP87e",The Batman (2022)
48185,176927125,3/4/22,#TheBatman no context spoilers https://t.co/YeKJR6Sicd,The Batman (2022)
50119,778937460,3/6/22,wanna go see Batman,The Batman (2022)
51626,149234822,3/4/22,"=== she's perfect >�>�B=;S#Thebatman
https://t.co/Bc8MhMkWlp",The Batman (2022)
54772,790876506,3/5/22,The Batman is the best Batman movie of all time. Talk to a wall and don't @,The Batman (2022)
51038,1.35E+18,3/7/22,Just getting out of seeing #Batman again still 10/10 for me https://t.co/AnIEYSe8UH,The Batman (2022)
51905,1.38E+18,3/6/22,Brotei no Batman,The Batman (2022)
48050,1.25E+18,3/8/22,"S/O to @DCComics for immediately knocking us back down from the elitist, NFT table by adding the word common after #LimitedEdition = #TheBatman https://t.co/QKo1Hl1wZv",The Batman (2022)
47418,159124871,3/5/22,I saw Batman and the Love is Blind reunion last night and only one of them kept me up all night #loveisblind2reunion,The Batman (2022)
50575,1077456398,3/6/22,Batman was too good,The Batman (2022)
49472,43038817,3/4/22,#TheBatman was so good!,The Batman (2022)
47492,61896196,3/6/22,Batman kinda sucked. Worst of the new age batmans https://t.co/ESOTbhXNa6,The Batman (2022)
50405,1.43E+18,3/4/22,Everyone cheered at the Batman gliding scene and then I cheered and clapped when he ate shit. >#>#>#># #TheBatman,The Batman (2022)
51561,3733331,3/7/22,"The Batman was fantastic. Incels everywhere are going to be mad. Also, I can already feel the 1000 word essay about the movie being woke @TuckerCarlson is writing in his head because the movie dared to say white privilege. #TheBatman #Batman",The Batman (2022)
51259,22066732,3/4/22,"I dont know what I expected going in, but The Batman is quite good. Didnt feel like 3 hours. Very Se7en vibes.",The Batman (2022)
53968,8.85E+17,3/4/22,@joeshoowah19 @nba445master @DiscussingFilm The Batman just moved slow so he could record things and study later. He didnt solve not one part of this crime. Terminator 2: Judgement Day and Captain America: Winter Soldier are two A+ perfect movies to me.,The Batman (2022)
52793,9.12E+17,3/6/22,Martinez was low key my guy. === #TheBatmanMovie,The Batman (2022)
48813,267155007,3/6/22,The Batman is in the same tier IDC lol,The Batman (2022)
53147,1.17E+18,3/5/22,"Zo� Kravitz as Selina Kyle in The Batman, by me https://t.co/y4fsc4iepW",The Batman (2022)
54603,1.49E+18,3/9/22,Wanna send a thank you out to Paul Brumbaugh for the last min add to the show and a special good lookin out to Jermaine L Reeves for great networking and friendship&.The Funny Guys in the Bay Area bout to bring some laughs&.#help1another #makumlaugh #brownlaughs #TheFunnyGuys https://t.co/8QGPYYvHDZ,The Batman (2022)
49260,43031197,3/7/22,"Forgot #BatmanReturns is almost certainly where I first heard the word ""poontang"" >#=1 https://t.co/HPRVlW9SQ7",The Batman (2022)
48607,1.49E+18,3/4/22,"@aellantia Fix the words that have power. I will meet Keanu Reeves and then feck the dog-shit out of him, such that he gets a neon tattoo with my name on his buttocks.",The Batman (2022)
50395,411626139,3/4/22,The real travesty of The Batman is Zo� Kravitz losing her pink wig in a fight scene=),The Batman (2022)
52328,28405296,3/5/22,Adam West forever! Get it together @PrimeVideo #batman #AdamWest,The Batman (2022)
48110,7.27E+17,3/10/22,I dont want to squander three hours on this new Batman so is it good?,The Batman (2022)
53494,867532477,3/4/22,Batmans theme song slaps,The Batman (2022)
54610,8.48E+17,3/9/22,@BatmanAnthology ARE NEW BATMAN ROBIN AND BATGIRL MOVIE When COMING SOON BE LAST ONE,The Batman (2022)
47232,1.03E+18,3/10/22,Batman just like me fr fr,The Batman (2022)
45062,235640408,3/4/22,"The Batman was great and it somehow didn't feel too long 

Oh and the Heat won most excellent",The Batman (2022)
52815,7.71E+17,3/7/22,New Batman movie looks cool https://t.co/nMH3OK9nda,The Batman (2022)
53780,1.31E+18,3/8/22,#TheBatman is a cinematic beauty and a must watch in IMAX https://t.co/HnYTviT7Z8,The Batman (2022)
45138,249272089,3/4/22,I believe @mattreevesLA wasn't afraid to write a film that showed the thin line between extreme left & extreme right or how vigilante justice teeters between righteous and criminal. This was truly a Batman story for our time.,The Batman (2022)
33276,2218653835,11/7/21,"Saw #eternals tonight and while its definitely different from other marvel movies and I have a lot of questions, I found it entertaining and thought it was a great cinematic experience! Heres a study of Thena. 
Painted in @Procreate 
#illustrationart #DigitalArtist https://t.co/kTV9hAaiId",Eternals (2021)
32243,1849597782,11/5/21,"im not going on twitter till i watch eternals bc yall dont know how to stfu >,",Eternals (2021)
32151,2781139889,11/8/21,"@NFLGimpy This was the biggest flaw of DC movies like Suicide Squad and Justice League to me, introducing new characters without the backstory. I havent seen Eternals yet but its frustrating if they tried to cut corners like this",Eternals (2021)
32009,2869126243,11/11/21,#EternalsGilgamesh #Avengers #MarvelStudios,Eternals (2021)
34986,8.75E+17,11/5/21,"#Eternals looks so boring from the commercials, but Im still going to go see it to stay abreast of the MCU. Thats the unstoppable power of the #Marvel brand!=� Hopefully the commercials misrepresented the movie.",Eternals (2021)
31427,1.31E+18,11/5/21,@damienmiles1995 Seeing eternals in Sunday!,Eternals (2021)
32096,114918234,11/6/21,@markellislive woke up this morning and saw this. This deft has to be covered in a future episode of @RottenTomatoes IS Wrong because thats a bigger Gap than the Grand Canyon #Eternals https://t.co/pu9DoDjyR7,Eternals (2021)
33097,1.27E+18,11/7/21,My most surprising character of #Eternals was definitely #Druig ! https://t.co/Tj4XI4PkWI,Eternals (2021)
32909,243919199,11/8/21,Eternals sucked. I said it.,Eternals (2021)
31688,18357054,11/5/21,"I'm at Regal Laurel Towne Centre - @regalmovies for Eternals in Laurel, MD https://t.co/15WNmARMl2",Eternals (2021)
31356,406745157,11/7/21,"@TheEternals I know you're not going for realism, but alpacas in the Amazon???? Guarded by people with an accent from Spain??? #Eternals",Eternals (2021)
34694,139914402,11/10/21,"Oof. Eternals is easily my least favorite MCU movie now. I'll still buy it when it comes out to keep the collection complete, but I'll probably never watch it again.",Eternals (2021)
35042,118572733,11/7/21,"Guys,, I just watched @TheEternals tonight && oh SO good!! >p=",Eternals (2021)
34353,3015341842,11/5/21,#Eternals was great guys. A middle to upper half film within the MCU. Casted perfectly and visually stunning. #MCU,Eternals (2021)
33545,45896059,11/10/21,Its time! - Ajak #eternals #marvel #celestials #mcu #marvelcomics #deviants #notavengers #movietime #skokie #cmx @cmxcinemas #tuesdaymovie @ CMX Cinemas https://t.co/RMke7ORtNC,Eternals (2021)
31420,52314454,11/11/21,Yooo werd to me The Avengers&nah fuck it the Teen Titans could fuck the Eternals up &. That movie was hella yeah btw (my opinion),Eternals (2021)
33424,21853,11/6/21,"Had to leave Eternals early for reasons, but not really upset about it. It was pretty terrible. The changes were dumb and the pacing was a travesty. Such a shame.",Eternals (2021)
32597,63868215,11/5/21,Eternals was alright had way more action than critics were saying it kept me entertained and the post credits were dope,Eternals (2021)
32057,1.09E+18,11/5/21,#Eternals on TV Time https://t.co/3r1Kd1JXoP https://t.co/wH6zCv1aFo,Eternals (2021)
35025,2352133482,11/6/21,"@TheRafeAdIer @AyyoDude @blytemf @DavissonJulian Made it though eternals >7B and throughly enjoyed it.

You so pressed lmao. Enjoy the movie for yourself and move on",Eternals (2021)
32239,34853704,11/5/21,Having to drive so far for a movie @AMCTheatres - when are you moving to the @miami_river? #MarvelStudios #Eternals #AMC #Movies,Eternals (2021)
34303,42337565,11/9/21,I see people who tear down dc movies to the bone but giving #Eternals a past GTFO,Eternals (2021)
32154,126553708,11/8/21,Low key best part of Eternals was that 2nd post credit scene lol,Eternals (2021)
33572,460348130,11/5/21,I need to see the eternals this weekend,Eternals (2021)
33901,23394600,11/8/21,Movie night with my baby. #amctheaters #delamo #eternals #lastnightinsoho #movies=� @ Dolby Theatre at AMC Del Amo 18 https://t.co/dAFyk1b4jq,Eternals (2021)
31888,2654892928,11/6/21,me in this theater after watching eternals tonight https://t.co/SppmGGyQ1D,Eternals (2021)
33076,410648466,11/7/21,Walked into eternals with Purdue leading the half and came out to this! Whaaaaaaatttttttt,Eternals (2021)
34993,1.03E+18,11/6/21,Marvel's Eternals is basically a story of why group projects suck.,Eternals (2021)
34533,930458412,11/5/21,Eternals out? =@,Eternals (2021)
31295,3912345989,11/5/21,time for #Eternals round <� https://t.co/kt2t2vmKPF,Eternals (2021)
32978,349212943,11/5/21,Just saw #Eternals; Disney can just take all of my money now and give me the entire MCU upfront at this point.,Eternals (2021)
34323,251220168,11/10/21,Eternals Assemble! Only Men To Win Heisman Trophy And Enter Pro Football Hall Of Fame Gather For Unique Documentary Project #H2H #heisman #hof https://t.co/Qj0Tu05kUe,Eternals (2021)
32280,102851443,11/6/21,"Early Birthday Celebrations at @AlamoDFWs #Cedars location for @TheEternals with my love @LookItsBrittani!

#Excelsior #MakeMineMarvel #HappyBirthdayToMe https://t.co/2LU3nPU3Tp",Eternals (2021)
34262,8.24E+17,11/7/21,"The same people hating The Eternals are putting on spot fests. That's right America, come and get me. Lol",Eternals (2021)
31944,26095837,11/7/21,Eternals. @ Fashion Valley https://t.co/nbgLlRan3f,Eternals (2021)
32927,384929695,11/9/21,"#Eternals Review: Marvel has always done a great job at telling human stories using superhumans to do so. An incredible ability to ground them and make them relatable. Eternals does just that. The plot is a little dense w/ a lot of moving parts but the pacing is helps.

89/100",Eternals (2021)
34983,323400541,11/5/21,"Seeing the Eternals movie tonight, will live tweet the ending for yall",Eternals (2021)
23952,34049572,12/17/21,"Im glad I muted the word Spider-Man, to avoid any spoilers, for the new #SpiderManNoWayHome movie. https://t.co/yLFn6oj2gj",Spider-Man No Way Home (2021)
22536,321475355,12/18/21,Because I met the director of Spiderman No Way Home @SpiderManMovie https://t.co/aR57L2lMKN,Spider-Man No Way Home (2021)
31129,186231274,12/20/21,#SpiderManNoWayHome was good!,Spider-Man No Way Home (2021)
30630,1497035792,12/19/21,Saw spiderman twice in one day yesterday idk how to feel about it,Spider-Man No Way Home (2021)
20955,232096471,12/22/21,#SpiderManNoWayHome was everything I thought it would be and more!,Spider-Man No Way Home (2021)
31112,348719591,12/20/21,Niggas are fighting in Spiderman. They cut the fucking lights on,Spider-Man No Way Home (2021)
31601,1.11E+18,12/22/21,boutta watch spiderman for the second time & im hyped all over againnnn =,Spider-Man No Way Home (2021)
22903,1.39E+18,12/17/21,"@DhonifiedRebel2 @AlluSrkTom @PrabhasCrazy007 Fans and admirers unnaru. But adhi actual market loki convert avvadaniki time pattudhi. Koddiga wait cheyandi. 
Pushpa ki chaala states lo 50% occupancy and Spiderman competition valla sarraina show count kuda ivvaledhu.",Spider-Man No Way Home (2021)
28112,9.84E+17,12/17/21,"#SpiderManNoWayHome 
Alright... Right off the bat; this is a SPOILER FREE review. 

Now, let's just say that I'm seeing this shit again asap. Any Spider-Man fan, any Marvel fan will absolutely love, adore and cry about everything this movie does to you. (Next page) https://t.co/Yv1CuUIk2i",Spider-Man No Way Home (2021)
27561,27951879,12/19/21,"It was hearing Neds mom speak Tagalog for me. #SpiderManNoWayHome 

I cant believe it.",Spider-Man No Way Home (2021)
22960,1.11E+18,12/18/21,Took my Lil Cuz @quantomcube to see #SpiderManNoWayHome =%=%=%=% @ AMC Lincoln Square 13 https://t.co/rcinTPz5AH,Spider-Man No Way Home (2021)
26262,1.40E+18,12/20/21,Assistir #SpiderManNoWayHome da forma mais segura e legal q conhe�o dentro do meu carrinho rsrsrsrs pipoca e da play please https://t.co/NoplgwnE3t,Spider-Man No Way Home (2021)
25216,392319875,12/17/21,@ahtiruos Tom holland even said bring tissues on his Instagram lol,Spider-Man No Way Home (2021)
30449,1382549815,12/17/21,Say hello to my new MCU ranking #SpiderMan #NoWayHome https://t.co/9fTPDBROUm,Spider-Man No Way Home (2021)
22101,1.09E+18,12/20/21,Just saw Zendaya Miss Tom Holland on screen and idk if I can continue living like this,Spider-Man No Way Home (2021)
20891,33418446,12/20/21,"Not all of our GEEKS were able to make it to our private No Way Home , but they were there in spirit and made there own experiences elsewhere! #spidermannowayhome #thescificenter @ The Sci Fi Center https://t.co/Y6F91Y11YE",Spider-Man No Way Home (2021)
20820,108779618,12/19/21,Thought the special effects were a bit rudimentary in #SpiderManNowWayHome https://t.co/ADkeEotFD1,Spider-Man No Way Home (2021)
22941,8.48E+17,12/18/21,@PranavSriraman @SpiderMan Spider-Man 3 above Far from Home? TASM ahead of Homecoming? https://t.co/utHYkpueax,Spider-Man No Way Home (2021)
23727,2802011567,12/21/21,Spiderman is the greatest super hero of all time,Spider-Man No Way Home (2021)
26326,840237428,12/21/21,"My thoughts, ""Now"" y'all like Andrew Garfield as Spiderman. >#=@>&<�B>7<�B",Spider-Man No Way Home (2021)
29776,1.10E+18,12/19/21,Join me in my Space! #SpiderMan https://t.co/j0M56lovJe,Spider-Man No Way Home (2021)
27496,3360625935,12/18/21,Ill have you know I watched Spiderman No Way Home and only cried for 30 minutes https://t.co/wVhLhgsD3o,Spider-Man No Way Home (2021)
25435,1642217563,12/21/21,Yeah so every single publication that gave No Way Home a 5-star review definitely got a fat check from Disney. Im the biggest spiderman fan I know but that shit was barely even a movie,Spider-Man No Way Home (2021)
22590,4911450391,12/18/21,"Ohh ho ho ho 
No words to describe>$>$=%
#SpiderManNoWayHome",Spider-Man No Way Home (2021)
20593,99798720,12/17/21,"Just a friendly reminder that not everyone was able to watch Spiderman on premiere night soo, lets hold of on the spoilers eh?",Spider-Man No Way Home (2021)
29037,1.43E+18,12/21/21,"Watching spiderman one on USA @ Torrington, Connecticut https://t.co/8rLcpjsCAh",Spider-Man No Way Home (2021)
24434,110285572,12/18/21,We ran into #framily whilst pre-gaming for #Spiderman. #wefancy #fangirl #marvel #MCU @ Georgetown Waterfront https://t.co/kY0rwqfaAm,Spider-Man No Way Home (2021)
24518,470595721,12/20/21,Links first movie! Spiderman no way home! So good! He did so great!! @ AMC Showplace 16 https://t.co/Rb8kExHmPD,Spider-Man No Way Home (2021)
30201,2941422231,12/19/21,I cried 2 times watching Spiderman =-=-=-=-,Spider-Man No Way Home (2021)
21925,9.84E+17,12/23/21,"Here are @the_mikestir final Spider-Month picks!

#spidermannowayhome #enemy #Logan https://t.co/7a2Nu0c8ni",Spider-Man No Way Home (2021)
30659,205696541,12/19/21,Spiderman. Wow >u=w,Spider-Man No Way Home (2021)
25210,2209914578,12/17/21,i still cant get over how amazing #SpiderManNoWayHome was. the crowd reactions. the action. the cinema. i just- i cry. 12/10,Spider-Man No Way Home (2021)
22509,1.10E+18,12/17/21,SPIDERMAN TIME #NoWayHome https://t.co/fdFuCn1r9u,Spider-Man No Way Home (2021)
26083,309533834,12/17/21,Wtf is wrong with my @disneyplus not loading.... I wanna watch Spiderman!!,Spider-Man No Way Home (2021)
23633,1.15E+18,12/19/21,"With great power comes great responsibility"" #SpiderMan",Spider-Man No Way Home (2021)
24053,8.30E+17,12/18/21,When Tom Holland makes a No Way Home reference to the wooden table that Iron Man walked by in the Delta Limited Edition vol #372847385 that was released regionally in 1956 https://t.co/S4nUiFWX4b,Spider-Man No Way Home (2021)
21857,149201138,12/21/21,Seeing #SpiderManNoWayHome again on Wednesday and I literally cannot wait =x,Spider-Man No Way Home (2021)
31234,503770434,12/23/21,https://t.co/QmVFBIbi9i Thursday movie. #SpiderManNoWayHome #thursdayvibes,Spider-Man No Way Home (2021)
24690,1.18E+18,12/17/21,#SpiderManNoWayHome was sooooo good i highly recommend watching,Spider-Man No Way Home (2021)
26446,14852774,12/17/21,Saw #SpiderManNoWayHome in theaters today. Monster- Avengers level response from the audience. This movie Is a complete home run for theaters. Definitely feels aligned with Marvel now. If this movie doesnt perform in box office the theater business is really in trouble.,Spider-Man No Way Home (2021)
28291,19034236,12/18/21,Just saw a dang Marvel masterpiece. #SpiderMan,Spider-Man No Way Home (2021)
20883,581505230,12/20/21,Damn. @SpiderManMovie was HEAVY. Loved it tho.,Spider-Man No Way Home (2021)
29055,2669924336,12/21/21,"lmaoo, my man was like ""you ever see how zendaya and tom look at eachother in real life? they look like they trynna eat eachother."" and i was like ""well... they are dating"" him: ""oh shit!! fr?!"" =->#",Spider-Man No Way Home (2021)
24010,36005822,12/18/21,"Congratulations to Tom Holland for being the first Spider-Man with a complete trilogy of GREAT movies. 3 for 3. Well done.

Marvel, you didn't have to do me like that on that last post credit scene. I'm glad you did but I was ready. You know what and who I like.",Spider-Man No Way Home (2021)
23778,1328183246,12/23/21,"That man Jaime Foxx was also great=L<�

#SpiderManNowWayHome #SpiderMan",Spider-Man No Way Home (2021)
28392,1.31E+18,12/20/21,Ok who all seen spiderman now?,Spider-Man No Way Home (2021)
25874,40170068,12/20/21,Some new bling for my mic stand thanks to @TrippyWitchTV !! Little Myles Morales Spiderman @squishmallows !! https://t.co/iBgg4nyVHZ,Spider-Man No Way Home (2021)
22545,23893873,12/18/21,13/10 #SpiderManNowWayHome,Spider-Man No Way Home (2021)
21369,1976399485,12/22/21,#newcomics #comicbooks #superman #spiderman #batman #cateiman #xmen #fyp #comicbookdat #FFXmasSwitch https://t.co/VjnwFBLGYZ,Spider-Man No Way Home (2021)
24507,304183391,12/19/21,I kind of forgot Andrew Garfield was hot,Spider-Man No Way Home (2021)
24315,23066185,12/17/21,Spider-Man. Opening night. <�=w=x #spidermannowayhome https://t.co/qk4xD5DL44 https://t.co/z2NqeHLDkc,Spider-Man No Way Home (2021)
31094,19580293,12/19/21,"That was my 1st time back to the movie theater in a while & I just cant do it no more. My anxiety was on =� & Yall stink<>, #SpiderManNowWayHome https://t.co/zZ1htDSsMI",Spider-Man No Way Home (2021)
27239,15977633,12/23/21,We never got Channing Tatum in a proper musical and by god if we dont get one for Tom Holland&,Spider-Man No Way Home (2021)
28108,1419463400,12/17/21,That second post credit scene for #SpiderManNoWayHome was >/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/>/,Spider-Man No Way Home (2021)
